id,age,race,gender,grade90,income96,partner,height,weight,famsize,genhealth,illegalact,charged,jobsnum90,afqt89,typejob90,jobtrain90,income96gt17
146,19,"PUERTORICAN","Male","12TH GRADE",1.5,"No",501,120,7,"Good",0,0,6,6,"busi","No","0"
147,15,"PUERTORICAN","Male","12TH GRADE",2.8,"No",503,110,7,"Excellent",0,0,4,5,"manuf","No","1"
148,19,"BLACK","Male","1ST YR COL",2.35,"No",510,173,2,"Good",0,0,10,24,"pro","Yes","1"
149,21,"FRENCH","Female","12TH GRADE",2.9,"No",503,100,5,"Very Good",0,0,1,53,"busi","Yes","1"
150,18,"IRISH","Male","12TH GRADE",2,"Yes",508,150,7,"Very Good",0,0,2,18,"construction","No","1"
151,14,"ENGLISH","Male","12TH GRADE",3.5,"No",509,155,7,"Good",0,0,2,15,"construction","No","1"
152,15,"IRISH","Male","12TH GRADE",1,"No",507,130,5,"Good",3,0,10,12,"retail","No","0"
153,19,"GERMAN","Male","4TH YR COL",2.295,"No",601,170,4,"Very Good",0,0,4,84,"agri","No","1"
154,22,"GERMAN","Female","5TH YR COL",8.1,"Yes",504,120,2,"Very Good",0,0,8,66,"pro","Yes","1"
155,21,"GERMAN","Female","4TH YR COL",3.8,"No",507,140,5,"Excellent",0,0,4,81,"pro","Yes","1"
156,20,"ENGLISH","Female","4TH YR COL",3,"No",509,140,4,"Excellent",0,0,6,92,"retail","No","1"
157,17,"PUERTORICAN","Male","9TH GRADE",0,"No",503,130,5,"Poor",0,1,6,2,"retail","No","0"
158,15,"PUERTORICAN","Male","9TH GRADE",1.3,"No",509,165,5,"Very Good",3,1,7,27,"manuf","Yes","0"
159,22,"BLACK","Female","12TH GRADE",3.1,"No",508,149,2,"Very Good",0,0,2,42,"pub","No","1"
160,20,"BLACK","Male","10TH GRADE",1,"No",511,185,6,"Fair",0,1,7,1,"personal","No","0"
161,19,"BLACK","Female","12TH GRADE",2.6,"No",503,125,8,"Very Good",0,0,3,20,"pro","Yes","1"
162,16,"BLACK","Female","12TH GRADE",0.2244,"No",503,100,8,"Excellent",0,0,5,14,"pro","No","0"
163,16,"GERMAN","Male","4TH YR COL",5.4,"No",511,160,5,"Very Good",0,0,5,96,"manuf","No","1"
164,20,"BLACK","Female","1ST YR COL",2,"No",500,128,2,"Very Good",0,0,8,1,"pro","No","1"
165,19,"ENGLISH","Female","4TH YR COL",0,"No",503,110,3,"Good",2,0,13,95,"manuf","No","0"
166,17,"ITALIAN","Male","4TH YR COL",6,"Yes",509,160,5,"Excellent",4,0,19,37,"personal","No","1"
167,21,"ITALIAN","Male","12TH GRADE",0,"No",508,178,7,"Excellent",6,0,6,56,"construction","No","0"
168,16,"ITALIAN","Male","5TH YR COL",3.8,"No",509,175,7,"Good",0,0,12,46,"construction","No","1"
169,19,"FRENCH","Male","12TH GRADE",13.8775,"No",601,170,4,"Very Good",3,0,10,24,"pro","Yes","1"
170,17,"FRENCH","Female","12TH GRADE",3.5,"No",504,225,4,"Fair",0,0,3,45,"fin","No","1"
171,22,"IRISH","Female","12TH GRADE",0,"No",504,120,6,"Good",0,0,2,71,"fin","No","0"
172,14,"IRISH","Male","12TH GRADE",7,"No",502,158,6,"Very Good",5,0,11,42,"transp","Yes","1"
173,16,"ENGLISH","Male","11TH GRADE",4.8,"No",507,147,5,"Very Good",0,0,16,43,"transp","No","1"
174,21,"IRISH","Male","4TH YR COL",5.7,"No",508,180,5,"Very Good",3,0,13,59,"retail","No","1"
175,17,"IRISH","Male","4TH YR COL",5.3,"No",600,205,6,"Very Good",0,0,9,32,"pub","No","1"
176,16,"ENGLISH","Female","4TH YR COL",4.3,"No",502,120,6,"Very Good",1,1,10,32,"retail","No","1"
177,17,"ENGLISH","Female","7TH YR COL",0,"No",502,98,5,"Very Good",0,0,13,87,"pro","No","0"
178,21,"ENGLISH","Male","12TH GRADE",0.0575,"No",511,135,5,"Fair",1,1,6,25,"manuf","No","0"
179,17,"ENGLISH","Female","12TH GRADE",0,"Yes",505,107,5,"Poor",0,0,15,31,"retail","No","0"
180,19,"IRISH","Male","4TH YR COL",5.1,"No",602,210,11,"Very Good",3,0,8,88,"wholesale","Yes","1"
181,19,"GERMAN","Female","4TH YR COL",2.7,"No",509,170,3,"Very Good",0,0,9,80,"manuf","No","1"
182,20,"ENGLISH","Female","4TH YR COL",2.1,"No",505,125,4,"Very Good",0,0,5,94,"fin","No","1"
183,19,"ENGLISH","Female","4TH YR COL",1.5,"No",507,138,4,"Very Good",0,0,9,92,"busi","No","0"
184,22,"AMERICAN","Male","11TH GRADE",1.6,"No",600,175,4,"Good",0,0,10,10,"retail","No","0"
185,21,"BLACK","Male","12TH GRADE",4.5,"Yes",601,160,6,"Very Good",0,0,6,58,"pro","No","1"
186,18,"BLACK","Female","12TH GRADE",3,"No",502,107,7,"Very Good",0,0,7,35,"fin","No","1"
